,Brutto Monat,Brutto Jahr,Geldwerter Vorteil Monat,Geldwerter Vorteil Jahr,Solidaritätszuschlag Monat,Solidaritätszuschlag Jahr,Kirchensteuer Monat,Kirchensteuer Jahr,Lohnsteuer Monat,Lohnsteuer Jahr,Steuern Monat,Steuern Jahr,Rentenversicherung Monat,Rentenversicherung Jahr,Arbeitslosenversicherung Monat,Arbeitslosenversicherung Jahr,Krankenversicherung Monat,Krankenversicherung Jahr,Pflegeversicherung Monat,Pflegeversicherung Jahr,Sozialabgaben Monat,Sozialabgaben Jahr,Netto Monat,Netto Jahr,Steuerklasse,Abrechnungsjahr
Values,2500.0,30000.0,0.0,0.0,0.0,0.0,0.0,0.0,228.83,2745.96,228.83,2745.96,232.5,2790.0,32.5,390.0,203.75,2445.0,46.88,562.5,515.63,6187.5,1755.55,21066.54,1,2023
Values,2500.0,30000.0,0.0,0.0,0.0,0.0,0.0,0.0,13.66,163.92,13.66,163.92,232.5,2790.0,32.5,390.0,203.75,2445.0,46.88,562.5,515.63,6187.5,1970.72,23648.58,3,2023
Values,2500.0,30000.0,0.0,0.0,0.0,0.0,0.0,0.0,208.41,2500.92,208.41,2500.92,232.5,2790.0,32.5,390.0,203.75,2445.0,57.5,690.0,526.25,6315.0,1765.34,21184.08,1,2024
Values,2500.0,30000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.5,2790.0,32.5,390.0,203.75,2445.0,57.5,690.0,526.25,6315.0,1973.75,23685.0,3,2024
Values,2583.33,31000.0,0.0,0.0,0.0,0.0,0.0,0.0,246.91,2962.92,246.91,2962.92,240.25,2883.0,33.58,403.0,210.54,2526.5,48.44,581.25,532.81,6393.75,1803.61,21643.33,1,2023
Values,2583.33,31000.0,0.0,0.0,0.0,0.0,0.0,0.0,25.16,301.92,25.16,301.92,240.25,2883.0,33.58,403.0,210.54,2526.5,48.44,581.25,532.81,6393.75,2025.36,24304.33,3,2023
Values,2583.33,31000.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,2712.0,226.0,2712.0,240.25,2883.0,33.58,403.0,210.54,2526.5,59.42,713.0,543.79,6525.5,1813.54,21762.5,1,2024
Values,2583.33,31000.0,0.0,0.0,0.0,0.0,0.0,0.0,5.83,69.96,5.83,69.96,240.25,2883.0,33.58,403.0,210.54,2526.5,59.42,713.0,543.79,6525.5,2033.71,24404.54,3,2024
Values,2666.67,32000.0,0.0,0.0,0.0,0.0,0.0,0.0,265.16,3181.92,265.16,3181.92,248.0,2976.0,34.67,416.0,217.33,2608.0,50.0,600.0,550.0,6600.0,1851.51,22218.08,1,2023
Values,2666.67,32000.0,0.0,0.0,0.0,0.0,0.0,0.0,36.16,433.92,36.16,433.92,248.0,2976.0,34.67,416.0,217.33,2608.0,50.0,600.0,550.0,6600.0,2080.51,24966.08,3,2023
Values,2666.67,32000.0,0.0,0.0,0.0,0.0,0.0,0.0,243.83,2925.96,243.83,2925.96,248.0,2976.0,34.67,416.0,217.33,2608.0,61.33,736.0,561.33,6736.0,1861.5,22338.04,1,2024
Values,2666.67,32000.0,0.0,0.0,0.0,0.0,0.0,0.0,15.66,187.92,15.66,187.92,248.0,2976.0,34.67,416.0,217.33,2608.0,61.33,736.0,561.33,6736.0,2089.67,25076.08,3,2024
Values,2750.0,33000.0,0.0,0.0,0.0,0.0,0.0,0.0,283.75,3405.0,283.75,3405.0,255.75,3069.0,35.75,429.0,224.13,2689.5,51.56,618.75,567.19,6806.25,1899.06,22788.75,1,2023
Values,2750.0,33000.0,0.0,0.0,0.0,0.0,0.0,0.0,47.83,573.96,47.83,573.96,255.75,3069.0,35.75,429.0,224.13,2689.5,51.56,618.75,567.19,6806.25,2134.98,25619.79,3,2023
Values,2750.0,33000.0,0.0,0.0,0.0,0.0,0.0,0.0,261.83,3141.96,261.83,3141.96,255.75,3069.0,35.75,429.0,224.13,2689.5,63.25,759.0,578.88,6946.5,1909.3,22911.54,1,2024
Values,2750.0,33000.0,0.0,0.0,0.0,0.0,0.0,0.0,26.16,313.92,26.16,313.92,255.75,3069.0,35.75,429.0,224.13,2689.5,63.25,759.0,578.88,6946.5,2144.97,25739.58,3,2024
Values,2833.33,34000.0,0.0,0.0,0.0,0.0,0.0,0.0,302.5,3630.0,302.5,3630.0,263.5,3162.0,36.83,442.0,230.92,2771.0,53.13,637.5,584.38,7012.5,1946.46,23357.5,1,2023
Values,2833.33,34000.0,0.0,0.0,0.0,0.0,0.0,0.0,59.83,717.96,59.83,717.96,263.5,3162.0,36.83,442.0,230.92,2771.0,53.13,637.5,584.38,7012.5,2189.13,26269.54,3,2023
Values,2833.33,34000.0,0.0,0.0,0.0,0.0,0.0,0.0,280.08,3360.96,280.08,3360.96,263.5,3162.0,36.83,442.0,230.92,2771.0,65.17,782.0,596.42,7157.0,1956.84,23482.04,1,2024
Values,2833.33,34000.0,0.0,0.0,0.0,0.0,0.0,0.0,37.16,445.92,37.16,445.92,263.5,3162.0,36.83,442.0,230.92,2771.0,65.17,782.0,596.42,7157.0,2199.76,26397.08,3,2024
Values,2916.67,35000.0,0.0,0.0,0.0,0.0,0.0,0.0,321.41,3856.92,321.41,3856.92,271.25,3255.0,37.92,455.0,237.71,2852.5,54.69,656.25,601.56,7218.75,1993.69,23924.33,1,2023
Values,2916.67,35000.0,0.0,0.0,0.0,0.0,0.0,0.0,72.5,870.0,72.5,870.0,271.25,3255.0,37.92,455.0,237.71,2852.5,54.69,656.25,601.56,7218.75,2242.6,26911.25,3,2023
Values,2916.67,35000.0,0.0,0.0,0.0,0.0,0.0,0.0,298.41,3580.92,298.41,3580.92,271.25,3255.0,37.92,455.0,237.71,2852.5,67.08,805.0,613.96,7367.5,2004.3,24051.58,1,2024
Values,2916.67,35000.0,0.0,0.0,0.0,0.0,0.0,0.0,48.5,582.0,48.5,582.0,271.25,3255.0,37.92,455.0,237.71,2852.5,67.08,805.0,613.96,7367.5,2254.21,27050.5,3,2024
Values,3000.0,36000.0,0.0,0.0,0.0,0.0,0.0,0.0,340.58,4086.96,340.58,4086.96,279.0,3348.0,39.0,468.0,244.5,2934.0,56.25,675.0,618.75,7425.0,2040.67,24488.04,1,2023
Values,3000.0,36000.0,0.0,0.0,0.0,0.0,0.0,0.0,85.66,1027.92,85.66,1027.92,279.0,3348.0,39.0,468.0,244.5,2934.0,56.25,675.0,618.75,7425.0,2295.59,27547.08,3,2023
Values,3000.0,36000.0,0.0,0.0,0.0,0.0,0.0,0.0,317.08,3804.96,317.08,3804.96,279.0,3348.0,39.0,468.0,244.5,2934.0,69.0,828.0,631.5,7578.0,2051.42,24617.04,1,2024
Values,3000.0,36000.0,0.0,0.0,0.0,0.0,0.0,0.0,60.5,726.0,60.5,726.0,279.0,3348.0,39.0,468.0,244.5,2934.0,69.0,828.0,631.5,7578.0,2308.0,27696.0,3,2024
Values,3083.33,37000.0,0.0,0.0,0.0,0.0,0.0,0.0,359.91,4318.92,359.91,4318.92,286.75,3441.0,40.08,481.0,251.29,3015.5,57.81,693.75,635.94,7631.25,2087.49,25049.83,1,2023
Values,3083.33,37000.0,0.0,0.0,0.0,0.0,0.0,0.0,99.5,1194.0,99.5,1194.0,286.75,3441.0,40.08,481.0,251.29,3015.5,57.81,693.75,635.94,7631.25,2347.9,28174.75,3,2023
Values,3083.33,37000.0,0.0,0.0,0.0,0.0,0.0,0.0,335.83,4029.96,335.83,4029.96,286.75,3441.0,40.08,481.0,251.29,3015.5,70.92,851.0,649.04,7788.5,2098.46,25181.54,1,2024
Values,3083.33,37000.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,876.0,73.0,876.0,286.75,3441.0,40.08,481.0,251.29,3015.5,70.92,851.0,649.04,7788.5,2361.29,28335.5,3,2024
Values,3166.67,38000.0,0.0,0.0,0.0,0.0,0.0,0.0,379.5,4554.0,379.5,4554.0,294.5,3534.0,41.17,494.0,258.08,3097.0,59.38,712.5,653.13,7837.5,2134.04,25608.5,1,2023
Values,3166.67,38000.0,0.0,0.0,0.0,0.0,0.0,0.0,113.66,1363.92,113.66,1363.92,294.5,3534.0,41.17,494.0,258.08,3097.0,59.38,712.5,653.13,7837.5,2399.88,28798.58,3,2023
Values,3166.67,38000.0,0.0,0.0,0.0,0.0,0.0,0.0,354.83,4257.96,354.83,4257.96,294.5,3534.0,41.17,494.0,258.08,3097.0,72.83,874.0,666.58,7999.0,2145.25,25743.04,1,2024
Values,3166.67,38000.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,1032.0,86.0,1032.0,294.5,3534.0,41.17,494.0,258.08,3097.0,72.83,874.0,666.58,7999.0,2414.08,28969.0,3,2024
Values,3250.0,39000.0,0.0,0.0,0.0,0.0,0.0,0.0,399.33,4791.96,399.33,4791.96,302.25,3627.0,42.25,507.0,264.88,3178.5,60.94,731.25,670.31,8043.75,2180.36,26164.29,1,2023
Values,3250.0,39000.0,0.0,0.0,0.0,0.0,0.0,0.0,128.5,1542.0,128.5,1542.0,302.25,3627.0,42.25,507.0,264.88,3178.5,60.94,731.25,670.31,8043.75,2451.19,29414.25,3,2023
Values,3250.0,39000.0,0.0,0.0,0.0,0.0,0.0,0.0,374.0,4488.0,374.0,4488.0,302.25,3627.0,42.25,507.0,264.88,3178.5,74.75,897.0,684.13,8209.5,2191.88,26302.5,1,2024
Values,3250.0,39000.0,0.0,0.0,0.0,0.0,0.0,0.0,99.33,1191.96,99.33,1191.96,302.25,3627.0,42.25,507.0,264.88,3178.5,74.75,897.0,684.13,8209.5,2466.55,29598.54,3,2024
Values,3333.33,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,419.33,5031.96,419.33,5031.96,310.0,3720.0,43.33,520.0,271.67,3260.0,62.5,750.0,687.5,8250.0,2226.5,26718.04,1,2023
Values,3333.33,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,143.83,1725.96,143.83,1725.96,310.0,3720.0,43.33,520.0,271.67,3260.0,62.5,750.0,687.5,8250.0,2502.0,30024.04,3,2023
Values,3333.33,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,393.41,4720.92,393.41,4720.92,310.0,3720.0,43.33,520.0,271.67,3260.0,76.67,920.0,701.67,8420.0,2238.26,26859.08,1,2024
Values,3333.33,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,113.33,1359.96,113.33,1359.96,310.0,3720.0,43.33,520.0,271.67,3260.0,76.67,920.0,701.67,8420.0,2518.34,30220.04,3,2024
Values,3416.67,41000.0,0.0,0.0,0.0,0.0,0.0,0.0,439.5,5274.0,439.5,5274.0,317.75,3813.0,44.42,533.0,278.46,3341.5,64.06,768.75,704.69,8456.25,2272.48,27269.75,1,2023
Values,3416.67,41000.0,0.0,0.0,0.0,0.0,0.0,0.0,159.66,1915.92,159.66,1915.92,317.75,3813.0,44.42,533.0,278.46,3341.5,64.06,768.75,704.69,8456.25,2552.32,30627.83,3,2023
Values,3416.67,41000.0,0.0,0.0,0.0,0.0,0.0,0.0,413.0,4956.0,413.0,4956.0,317.75,3813.0,44.42,533.0,278.46,3341.5,78.58,943.0,719.21,8630.5,2284.46,27413.5,1,2024
Values,3416.67,41000.0,0.0,0.0,0.0,0.0,0.0,0.0,127.83,1533.96,127.83,1533.96,317.75,3813.0,44.42,533.0,278.46,3341.5,78.58,943.0,719.21,8630.5,2569.63,30835.54,3,2024
Values,3500.0,42000.0,0.0,0.0,0.0,0.0,0.0,0.0,460.0,5520.0,460.0,5520.0,325.5,3906.0,45.5,546.0,285.25,3423.0,65.63,787.5,721.88,8662.5,2318.13,27817.5,1,2023
Values,3500.0,42000.0,0.0,0.0,0.0,0.0,0.0,0.0,175.83,2109.96,175.83,2109.96,325.5,3906.0,45.5,546.0,285.25,3423.0,65.63,787.5,721.88,8662.5,2602.3,31227.54,3,2023
Values,3500.0,42000.0,0.0,0.0,0.0,0.0,0.0,0.0,432.75,5193.0,432.75,5193.0,325.5,3906.0,45.5,546.0,285.25,3423.0,80.5,966.0,736.75,8841.0,2330.5,27966.0,1,2024
Values,3500.0,42000.0,0.0,0.0,0.0,0.0,0.0,0.0,142.66,1711.92,142.66,1711.92,325.5,3906.0,45.5,546.0,285.25,3423.0,80.5,966.0,736.75,8841.0,2620.59,31447.08,3,2024
Values,3583.33,43000.0,0.0,0.0,0.0,0.0,0.0,0.0,480.58,5766.96,480.58,5766.96,333.25,3999.0,46.58,559.0,292.04,3504.5,67.19,806.25,739.06,8868.75,2363.69,28364.29,1,2023
Values,3583.33,43000.0,0.0,0.0,0.0,0.0,0.0,0.0,192.16,2305.92,192.16,2305.92,333.25,3999.0,46.58,559.0,292.04,3504.5,67.19,806.25,739.06,8868.75,2652.11,31825.33,3,2023
Values,3583.33,43000.0,0.0,0.0,0.0,0.0,0.0,0.0,452.75,5433.0,452.75,5433.0,333.25,3999.0,46.58,559.0,292.04,3504.5,82.42,989.0,754.29,9051.5,2376.29,28515.5,1,2024
Values,3583.33,43000.0,0.0,0.0,0.0,0.0,0.0,0.0,158.16,1897.92,158.16,1897.92,333.25,3999.0,46.58,559.0,292.04,3504.5,82.42,989.0,754.29,9051.5,2670.88,32050.58,3,2024
Values,3666.67,44000.0,0.0,0.0,0.0,0.0,0.0,0.0,501.41,6016.92,501.41,6016.92,341.0,4092.0,47.67,572.0,298.83,3586.0,68.75,825.0,756.25,9075.0,2409.01,28908.08,1,2023
Values,3666.67,44000.0,0.0,0.0,0.0,0.0,0.0,0.0,208.66,2503.92,208.66,2503.92,341.0,4092.0,47.67,572.0,298.83,3586.0,68.75,825.0,756.25,9075.0,2701.76,32421.08,3,2023
Values,3666.67,44000.0,0.0,0.0,0.0,0.0,0.0,0.0,472.91,5674.92,472.91,5674.92,341.0,4092.0,47.67,572.0,298.83,3586.0,84.33,1012.0,771.83,9262.0,2421.92,29063.08,1,2024
Values,3666.67,44000.0,0.0,0.0,0.0,0.0,0.0,0.0,174.16,2089.92,174.16,2089.92,341.0,4092.0,47.67,572.0,298.83,3586.0,84.33,1012.0,771.83,9262.0,2720.67,32648.08,3,2024
Values,3750.0,45000.0,0.0,0.0,0.0,0.0,0.0,0.0,522.5,6270.0,522.5,6270.0,348.75,4185.0,48.75,585.0,305.63,3667.5,70.31,843.75,773.44,9281.25,2454.06,29448.75,1,2023
Values,3750.0,45000.0,0.0,0.0,0.0,0.0,0.0,0.0,225.16,2701.92,225.16,2701.92,348.75,4185.0,48.75,585.0,305.63,3667.5,70.31,843.75,773.44,9281.25,2751.4,33016.83,3,2023
Values,3750.0,45000.0,0.0,0.0,0.0,0.0,0.0,0.0,493.25,5919.0,493.25,5919.0,348.75,4185.0,48.75,585.0,305.63,3667.5,86.25,1035.0,789.38,9472.5,2467.38,29608.5,1,2024
Values,3750.0,45000.0,0.0,0.0,0.0,0.0,0.0,0.0,190.33,2283.96,190.33,2283.96,348.75,4185.0,48.75,585.0,305.63,3667.5,86.25,1035.0,789.38,9472.5,2770.3,33243.54,3,2024
Values,3833.33,46000.0,0.0,0.0,0.0,0.0,0.0,0.0,543.75,6525.0,543.75,6525.0,356.5,4278.0,49.83,598.0,312.42,3749.0,71.88,862.5,790.63,9487.5,2498.96,29987.5,1,2023
Values,3833.33,46000.0,0.0,0.0,0.0,0.0,0.0,0.0,241.83,2901.96,241.83,2901.96,356.5,4278.0,49.83,598.0,312.42,3749.0,71.88,862.5,790.63,9487.5,2800.88,33610.54,3,2023
Values,3833.33,46000.0,0.0,0.0,0.0,0.0,0.0,0.0,513.83,6165.96,513.83,6165.96,356.5,4278.0,49.83,598.0,312.42,3749.0,88.17,1058.0,806.92,9683.0,2512.59,30151.04,1,2024
Values,3833.33,46000.0,0.0,0.0,0.0,0.0,0.0,0.0,206.5,2478.0,206.5,2478.0,356.5,4278.0,49.83,598.0,312.42,3749.0,88.17,1058.0,806.92,9683.0,2819.92,33839.0,3,2024
Values,3916.67,47000.0,0.0,0.0,0.0,0.0,0.0,0.0,565.25,6783.0,565.25,6783.0,364.25,4371.0,50.92,611.0,319.21,3830.5,73.44,881.25,807.81,9693.75,2543.6,30523.25,1,2023
Values,3916.67,47000.0,0.0,0.0,0.0,0.0,0.0,0.0,258.66,3103.92,258.66,3103.92,364.25,4371.0,50.92,611.0,319.21,3830.5,73.44,881.25,807.81,9693.75,2850.19,34202.33,3,2023
Values,3916.67,47000.0,0.0,0.0,0.0,0.0,0.0,0.0,534.58,6414.96,534.58,6414.96,364.25,4371.0,50.92,611.0,319.21,3830.5,90.08,1081.0,824.46,9893.5,2557.63,30691.54,1,2024
Values,3916.67,47000.0,0.0,0.0,0.0,0.0,0.0,0.0,222.83,2673.96,222.83,2673.96,364.25,4371.0,50.92,611.0,319.21,3830.5,90.08,1081.0,824.46,9893.5,2869.38,34432.54,3,2024
Values,4000.0,48000.0,0.0,0.0,0.0,0.0,0.0,0.0,586.91,7042.92,586.91,7042.92,372.0,4464.0,52.0,624.0,326.0,3912.0,75.0,900.0,825.0,9900.0,2588.09,31057.08,1,2023
Values,4000.0,48000.0,0.0,0.0,0.0,0.0,0.0,0.0,275.5,3306.0,275.5,3306.0,372.0,4464.0,52.0,624.0,326.0,3912.0,75.0,900.0,825.0,9900.0,2899.5,34794.0,3,2023
Values,4000.0,48000.0,0.0,0.0,0.0,0.0,0.0,0.0,555.58,6666.96,555.58,6666.96,372.0,4464.0,52.0,624.0,326.0,3912.0,92.0,1104.0,842.0,10104.0,2602.42,31229.04,1,2024
Values,4000.0,48000.0,0.0,0.0,0.0,0.0,0.0,0.0,239.33,2871.96,239.33,2871.96,372.0,4464.0,52.0,624.0,326.0,3912.0,92.0,1104.0,842.0,10104.0,2918.67,35024.04,3,2024
Values,4083.33,49000.0,0.0,0.0,0.0,0.0,0.0,0.0,608.83,7305.96,608.83,7305.96,379.75,4557.0,53.08,637.0,332.79,3993.5,76.56,918.75,842.19,10106.25,2632.32,31587.79,1,2023
Values,4083.33,49000.0,0.0,0.0,0.0,0.0,0.0,0.0,292.33,3507.96,292.33,3507.96,379.75,4557.0,53.08,637.0,332.79,3993.5,76.56,918.75,842.19,10106.25,2948.82,35385.79,3,2023
Values,4083.33,49000.0,0.0,0.0,0.0,0.0,0.0,0.0,576.66,6919.92,576.66,6919.92,379.75,4557.0,53.08,637.0,332.79,3993.5,93.92,1127.0,859.54,10314.5,2647.13,31765.58,1,2024
Values,4083.33,49000.0,0.0,0.0,0.0,0.0,0.0,0.0,255.83,3069.96,255.83,3069.96,379.75,4557.0,53.08,637.0,332.79,3993.5,93.92,1127.0,859.54,10314.5,2967.96,35615.54,3,2024
Values,4166.67,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,630.91,7570.92,630.91,7570.92,387.5,4650.0,54.17,650.0,339.58,4075.0,78.13,937.5,859.38,10312.5,2676.38,32116.58,1,2023
Values,4166.67,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,309.5,3714.0,309.5,3714.0,387.5,4650.0,54.17,650.0,339.58,4075.0,78.13,937.5,859.38,10312.5,2997.79,35973.5,3,2023
Values,4166.67,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,598.08,7176.96,598.08,7176.96,387.5,4650.0,54.17,650.0,339.58,4075.0,95.83,1150.0,877.08,10525.0,2691.5,32298.04,1,2024
Values,4166.67,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,272.5,3270.0,272.5,3270.0,387.5,4650.0,54.17,650.0,339.58,4075.0,95.83,1150.0,877.08,10525.0,3017.08,36205.0,3,2024
Values,4250.0,51000.0,0.0,0.0,0.0,0.0,0.0,0.0,653.25,7839.0,653.25,7839.0,395.25,4743.0,55.25,663.0,346.38,4156.5,79.69,956.25,876.56,10518.75,2720.19,32642.25,1,2023
Values,4250.0,51000.0,0.0,0.0,0.0,0.0,0.0,0.0,326.66,3919.92,326.66,3919.92,395.25,4743.0,55.25,663.0,346.38,4156.5,79.69,956.25,876.56,10518.75,3046.78,36561.33,3,2023
Values,4250.0,51000.0,0.0,0.0,0.0,0.0,0.0,0.0,619.58,7434.96,619.58,7434.96,395.25,4743.0,55.25,663.0,346.38,4156.5,97.75,1173.0,894.63,10735.5,2735.8,32829.54,1,2024
Values,4250.0,51000.0,0.0,0.0,0.0,0.0,0.0,0.0,289.33,3471.96,289.33,3471.96,395.25,4743.0,55.25,663.0,346.38,4156.5,97.75,1173.0,894.63,10735.5,3066.05,36792.54,3,2024
Values,4333.33,52000.0,0.0,0.0,0.0,0.0,0.0,0.0,675.75,8109.0,675.75,8109.0,403.0,4836.0,56.33,676.0,353.17,4238.0,81.25,975.0,893.75,10725.0,2763.83,33166.0,1,2023
Values,4333.33,52000.0,0.0,0.0,0.0,0.0,0.0,0.0,343.83,4125.96,343.83,4125.96,403.0,4836.0,56.33,676.0,353.17,4238.0,81.25,975.0,893.75,10725.0,3095.75,37149.04,3,2023
Values,4333.33,52000.0,0.0,0.0,0.0,0.0,0.0,0.0,641.33,7695.96,641.33,7695.96,403.0,4836.0,56.33,676.0,353.17,4238.0,99.67,1196.0,912.17,10946.0,2779.84,33358.04,1,2024
Values,4333.33,52000.0,0.0,0.0,0.0,0.0,0.0,0.0,306.16,3673.92,306.16,3673.92,403.0,4836.0,56.33,676.0,353.17,4238.0,99.67,1196.0,912.17,10946.0,3115.01,37380.08,3,2024
